lat,lon,alt,eph,epv,vel,cog,satellites_visible,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,airspeed,groundspeed,heading,throttle,climb,label
-353505339.0,1491759345.0,575930.0,121.0,200.0,2.0,22003.0,10.0,-0.0025336809922009706,-0.0014056795043870807,1.6214748620986938,-0.004048978444188833,0.000831873738206923,-0.0007533865282312036,1.7004433870315552,0.005769696086645126,92.0,42.0,1.700433611869812,0
-353505339.0,1491759344.0,576250.0,121.0,200.0,1.0,21938.0,10.0,-0.002660957630723715,-0.0016645051073282957,1.6214861869812012,0.00042940746061503887,0.0004773220280185342,-0.0008161705918610096,1.9603646993637085,0.011518403887748718,92.0,42.0,1.9603309631347656,0
-353505339.0,1491759344.0,576250.0,121.0,200.0,1.0,21938.0,10.0,-0.002660957630723715,-0.0016645051073282957,1.6214861869812012,0.00042940746061503887,0.0004773220280185342,-0.0008161705918610096,1.9603646993637085,0.011518403887748718,92.0,42.0,1.9603309631347656,0
-353505339.0,1491759344.0,576620.0,121.0,200.0,1.0,21784.0,10.0,-0.0023005076218396425,-0.0019309326307848096,1.6214689016342163,0.0015734966145828366,-0.003136194311082363,-0.0009355419315397739,2.2262210845947266,0.017181672155857086,92.0,43.0,2.2261548042297363,0
-353505339.0,1491759344.0,576620.0,121.0,200.0,1.0,21784.0,10.0,-0.0023005076218396425,-0.0019309326307848096,1.6214689016342163,0.0015734966145828366,-0.003136194311082363,-0.0009355419315397739,2.2262210845947266,0.017181672155857086,92.0,43.0,2.2261548042297363,0
-353505340.0,1491759344.0,577470.0,121.0,200.0,0.0,19555.0,10.0,-0.001998783554881811,-0.0018529162043705583,1.6423404216766357,0.0013145053526386619,0.0013868651585653424,-0.000800452777184546,2.442397117614746,0.022150643169879913,94.0,41.0,2.4422965049743652,0
-353505340.0,1491759344.0,577470.0,121.0,200.0,0.0,19555.0,10.0,-0.001998783554881811,-0.0018529162043705583,1.6423404216766357,0.0013145053526386619,0.0013868651585653424,-0.000800452777184546,2.442397117614746,0.022150643169879913,94.0,41.0,2.4422965049743652,0
-353505340.0,1491759344.0,577470.0,121.0,200.0,0.0,19555.0,10.0,-0.001998783554881811,-0.0018529162043705583,1.6423404216766357,0.0013145053526386619,0.0013868651585653424,-0.000800452777184546,2.442397117614746,0.022150643169879913,94.0,41.0,2.4422965049743652,0
-353505341.0,1491759344.0,577960.0,121.0,200.0,0.0,16341.0,10.0,-0.0018787123262882233,-0.0014960621483623981,1.6433076858520508,-0.001666887430474162,0.001499021309427917,-0.0016579434741288424,2.5279879570007324,0.02517116442322731,94.0,40.0,2.527862548828125,0
-353505341.0,1491759344.0,577960.0,121.0,200.0,0.0,16341.0,10.0,-0.0018787123262882233,-0.0014960621483623981,1.6433076858520508,-0.001666887430474162,0.001499021309427917,-0.0016579434741288424,2.5279879570007324,0.02517116442322731,94.0,40.0,2.527862548828125,0
-353505341.0,1491759344.0,578460.0,121.0,200.0,0.0,13635.0,10.0,-0.0018694502068683505,-0.001070337719283998,1.6428285837173462,0.0016043547075241804,0.002498345449566841,-0.003175973193719983,2.540116548538208,0.027029838413000107,94.0,39.0,2.5399727821350098,0
-353505341.0,1491759344.0,578460.0,121.0,200.0,0.0,13635.0,10.0,-0.0018694502068683505,-0.001070337719283998,1.6428285837173462,0.0016043547075241804,0.002498345449566841,-0.003175973193719983,2.540116548538208,0.027029838413000107,94.0,39.0,2.5399727821350098,0
-353505341.0,1491759344.0,578970.0,121.0,200.0,0.0,12222.0,10.0,-0.0021005969028919935,-0.0005476358928717673,1.6422947645187378,-0.001595873385667801,0.0016763386083766818,-0.0019444560166448355,2.520869016647339,0.028057171031832695,94.0,39.0,2.5207130908966064,0
-353505341.0,1491759344.0,578970.0,121.0,200.0,0.0,12222.0,10.0,-0.0021005969028919935,-0.0005476358928717673,1.6422947645187378,-0.001595873385667801,0.0016763386083766818,-0.0019444560166448355,2.520869016647339,0.028057171031832695,94.0,39.0,2.5207130908966064,0
-353505341.0,1491759344.0,579970.0,121.0,200.0,0.0,10274.0,10.0,-0.00236067664809525,-0.0004610471660271287,1.6421120166778564,-0.0009750798926688731,-0.00032053468748927116,-0.00035032432060688734,2.495461940765381,0.028964446857571602,94.0,39.0,2.4952940940856934,0
-353505341.0,1491759344.0,579970.0,121.0,200.0,0.0,10274.0,10.0,-0.00236067664809525,-0.0004610471660271287,1.6421120166778564,-0.0009750798926688731,-0.00032053468748927116,-0.00035032432060688734,2.495461940765381,0.028964446857571602,94.0,39.0,2.4952940940856934,0
-353505341.0,1491759344.0,580470.0,121.0,200.0,0.0,8268.0,10.0,-0.0021600753534585238,-0.0005423680995590985,1.6421818733215332,0.0024003880098462105,0.00206587603315711,0.0001525909174233675,2.476733446121216,0.02977679669857025,94.0,39.0,2.4765543937683105,0
-353505341.0,1491759344.0,580470.0,121.0,200.0,0.0,8268.0,10.0,-0.0021600753534585238,-0.0005423680995590985,1.6421818733215332,0.0024003880098462105,0.00206587603315711,0.0001525909174233675,2.476733446121216,0.02977679669857025,94.0,39.0,2.4765543937683105,0
-353505341.0,1491759344.0,580960.0,121.0,200.0,0.0,6260.0,10.0,-0.0017761541530489922,-0.00042211543768644333,1.6422979831695557,0.0003828342305496335,-0.00010700395796447992,0.00022253463976085186,2.4684600830078125,0.029669903218746185,94.0,39.0,2.4682817459106445,0
-353505341.0,1491759344.0,580960.0,121.0,200.0,0.0,6260.0,10.0,-0.0017761541530489922,-0.00042211543768644333,1.6422979831695557,0.0003828342305496335,-0.00010700395796447992,0.00022253463976085186,2.4684600830078125,0.029669903218746185,94.0,39.0,2.4682817459106445,0
-353505341.0,1491759344.0,581460.0,121.0,200.0,0.0,4957.0,10.0,-0.0016715225065127015,-0.00045558292185887694,1.6423428058624268,-0.0025363601744174957,-0.0018413319485262036,-0.0007997691864147782,2.4683470726013184,0.028960956260561943,94.0,39.0,2.468177080154419,0
-353505341.0,1491759344.0,581460.0,121.0,200.0,0.0,4957.0,10.0,-0.0016715225065127015,-0.00045558292185887694,1.6423428058624268,-0.0025363601744174957,-0.0018413319485262036,-0.0007997691864147782,2.4683470726013184,0.028960956260561943,94.0,39.0,2.468177080154419,0
-353505341.0,1491759344.0,582440.0,121.0,200.0,0.0,2761.0,10.0,-0.001614034059457481,-0.000702365068718791,1.6421629190444946,-4.848197568207979e-05,-0.0010218984680250287,-0.0010574297048151493,2.4730091094970703,0.028312863782048225,94.0,39.0,2.4728472232818604,0
-353505341.0,1491759344.0,582440.0,121.0,200.0,0.0,2761.0,10.0,-0.001614034059457481,-0.000702365068718791,1.6421629190444946,-4.848197568207979e-05,-0.0010218984680250287,-0.0010574297048151493,2.4730091094970703,0.028312863782048225,94.0,39.0,2.4728472232818604,0
-353505341.0,1491759344.0,582440.0,121.0,200.0,0.0,2761.0,10.0,-0.001614034059457481,-0.000702365068718791,1.6421629190444946,-4.848197568207979e-05,-0.0010218984680250287,-0.0010574297048151493,2.4730091094970703,0.028312863782048225,94.0,39.0,2.4728472232818604,0
